District,Income,Income_1k,casenum,decnum,population,population_density,population.density_1k,cum_inc,inc_perk,cfr,cfr_percent,Cumulative Incidence Rate_percentage,ma,Total Median Age,Male Proportion,Female Proportion,Average Patient Age,Average Age,M,F,M Infect,M Inc,F Infect,F Inc,Inc_P,M Dead,F Dead,MTP,MIP,MDP,Log_Income,aht,mht,TGP_100,TAG1,TAG2,TAG3,TAG4,TAG5,Proverty Rate,HSD_percent,Education Score,Income Region
Central and Western,45040,45.04,547,2,235953,18808,18.808,0.002318258,2.318,0.003656307,0.366,0.232,37,44.8,0.0025844,0.002128262,39.2,44.8,98282,137671,254,0.26,293,0.21,1.21,0,2,0.42,0.46,0,4.65,13.62,12,71.39,10.3,7.1,33,30.3,19.3,16.9,78.7,1.221,2
Eastern,32000,32,621,11,529603,29440,29.44,0.001172576,1.173,0.017713366,1.771,0.117,48,49,0.001267438,0.001097747,46.7,49,233542,296061,296,0.13,325,0.11,1.15,7,4,0.44,0.48,0.64,4.51,17.3,14,67.33,10.1,5.9,32.3,30.4,21.2,19.4,69.5,1.053,2
Islands,28960,28.96,288,2,185282,1021,1.021,0.001554387,1.554,0.006944444,0.694,0.155,41,42.7,0.001906219,0.001256269,40.95,42.7,84985,100297,162,0.19,126,0.13,1.52,1,1,0.46,0.56,0.5,4.46,14.66,13,80.85,11.6,7.5,32.5,30.5,17.9,25.7,69.9,1.024,1
Kowloon City,30010,30.01,852,21,410634,40994,40.994,0.00207484,2.075,0.024647887,2.465,0.207,46,45.4,0.002077786,0.002072552,45.74,45.4,179518,231116,373,0.21,479,0.21,1,11,10,0.44,0.44,0.52,4.48,15.8,13,84.73,12.8,9.1,31.7,31.7,14.7,21.5,69.6,1.042,1
Kwai Tsing,23740,23.74,592,5,495798,21246,21.246,0.001194035,1.194,0.008445946,0.845,0.119,48,48,0.001235934,0.001157122,45.36,48,232213,263585,287,0.12,305,0.12,1.07,4,1,0.47,0.48,0.8,4.38,15.73,13,88.71,11.6,8.8,31.6,33,15,27.5,55.9,0.85,0
Kwun Tong,22000,22,830,18,673166,59704,59.704,0.00123298,1.233,0.021686747,2.169,0.123,49.5,48,0.001271201,0.001199901,48.24,48,312303,360863,397,0.13,433,0.12,1.06,11,7,0.46,0.48,0.61,4.34,14.9,12,83.89,11.5,8.1,30.8,33.7,15.8,28.8,57.7,0.865,0
North,23580,23.58,219,6,309631,2269,2.269,0.000707294,0.707,0.02739726,2.74,0.071,52,46.3,0.000763711,0.000657382,47.23,46.3,145343,164288,111,0.08,108,0.07,1.16,4,2,0.47,0.51,0.67,4.37,16.46,12,77.67,12.3,7.6,29.5,30.6,20.1,27,59.6,0.885,0
Sai Kung,37840,37.84,427,3,489037,3771,3.771,0.000873145,0.873,0.007025761,0.703,0.087,46,44.7,0.001026473,0.00074452,44.35,44.7,223094,265943,229,0.1,198,0.07,1.38,2,1,0.46,0.54,0.67,4.58,15.27,13,84.3,11.8,7.7,29.8,32.6,18.1,17.6,70.4,1.065,2
Sha Tin,28870,28.87,616,10,692806,10082,10.082,0.000889138,0.889,0.016233766,1.623,0.089,47.5,46.2,0.000839815,0.000930967,46.37,46.2,317927,374879,267,0.08,349,0.09,0.9,5,5,0.46,0.43,0.5,4.46,14.75,13,79.05,10.4,7.2,27.5,33.4,21.6,23.7,65.4,0.987,1
Sham Shui Po,21490,21.49,657,22,431090,46067,46.067,0.001524044,1.524,0.03348554,3.349,0.152,48,46.2,0.00159189,0.001466477,47.57,46.2,197878,233212,315,0.16,342,0.15,1.09,12,10,0.46,0.48,0.55,4.33,16.57,13,88.1,10,8.6,26.8,32.6,22.1,26.5,59.8,0.903,0
Southern,32440,32.44,263,1,263278,6779,6.779,0.000998944,0.999,0.003802281,0.38,0.1,44,48.1,0.001126988,0.000897721,42.37,48.1,116239,147039,131,0.11,132,0.09,1.26,0,1,0.44,0.5,0,4.51,14.56,13,85.69,10.9,7.3,30.8,32.5,18.5,18.2,65,0.979,2
Tai Po,30000,30,274,2,316470,2325,2.325,0.000865801,0.866,0.00729927,0.73,0.087,48,45.7,0.000842247,0.000885984,47.05,45.7,146038,170432,123,0.08,151,0.09,0.95,1,1,0.46,0.45,0.5,4.48,15.93,13,84.81,11.4,7.8,29,31.8,20,23.5,65.1,0.978,1
Tsuen Wan,32040,32.04,302,4,320094,5168,5.168,0.000943473,0.943,0.013245033,1.325,0.094,44,45.4,0.000990356,0.000903951,45.12,45.4,146412,173682,145,0.1,157,0.09,1.1,2,2,0.46,0.48,0.5,4.51,16.43,14,84.85,11.4,8.2,28.6,31.4,20.4,21.2,68.8,1.024,2
Tuen Mun,25040,25.04,493,19,506879,5908,5.908,0.000972619,0.973,0.038539554,3.854,0.097,50,46.1,0.001015309,0.000934131,49.39,46.1,240321,266558,244,0.1,249,0.09,1.09,12,7,0.47,0.49,0.63,4.4,15.59,13,90.16,10.7,7.6,30.1,32.3,19.3,24,59.9,0.893,0
Wan Chai,45000,45,369,3,166695,15791,15.791,0.002213624,2.214,0.008130081,0.813,0.221,38,46,0.002787924,0.001826942,41.55,46,67075,99620,187,0.28,182,0.18,1.53,1,2,0.4,0.51,0.33,4.65,17.06,14,86.54,10.4,9,25.9,32.8,21.9,17,80.7,1.247,2
Wong Tai Sin,23520,23.52,875,36,406802,43730,43.73,0.002150924,2.151,0.041142857,4.114,0.215,54,50.1,0.002335614,0.001992968,50.83,50.1,187531,219271,438,0.23,437,0.2,1.17,26,10,0.46,0.5,0.72,4.37,17.21,13,78.88,9.7,6.9,27.2,32.9,23.4,27.1,56.6,0.862,0
