District,Income,casenum,decnum,population,population_density,cum_inc,inc_perk,cfr,cfr_percent,Cumulative Incidence Rate_percentage,mdt,Median Age,Average Age,M,F,MTP,M Infect,F Infect,Male_Female_ratio,M_inc,F_inc,inc_P,MIP,M dead,F dead,MDP,aht,income_trans,TGP_100,AG1_per,AG2_per,AG3_per,AG4_per,AG5_per,TAG1,TAG2,TAG3,TAG4,TAG5,population_density_1000,adt,Average Patient Age,Proverty Rate,HSD_percent,Education Score,Number of Hospital,Number of Public Hospital
Central and Western,45040,337,2,235953,18808,0.001428251,1.428250541,0.005934718,0.59347181,0.142825054,3,38,44.8,98282,137671,0.417,161,176,1.28,1.638143302,1.278410123,1.28139106,0.964,0,2,0,15.23,45.04,71.38903618,4.15,11.28,48.66,24.63,11.28,10.3,7.1,33,30.3,19.3,18.808,4.83,40.83,16.9,78.7,1.221,4,2
Eastern,32000,451,10,529603,29440,0.000851581,0.851581279,0.022172949,2.2172949,0.085158128,4,52,49,233542,296061,0.441,226,225,1.27,0.967706023,0.759978518,1.27333339,0.501,6,4,0.6,17.06,32,78.88306802,3.77,9.31,26.16,38.36,22.39,9.7,6.9,27.2,32.9,23.4,29.44,4.68,49.29,19.4,69.5,1.053,2,2
Islands,28960,146,2,185282,1021,0.000787988,0.78798804,0.01369863,1.369863014,0.078798804,4,43,42.7,84985,100297,0.459,74,72,1.21,0.870741896,0.717867932,1.212955554,0.507,1,1,0.5,17.6,28.96,84.73334197,4.79,8.90,37.67,39.73,8.90,12.8,9.1,31.7,31.7,14.7,1.021,5.05,43.07,25.7,69.9,1.024,3,3
Kowloon City,30010,614,15,410634,40994,0.001495249,1.49524881,0.024429967,2.442996743,0.149524881,4,47,45.4,179518,231116,0.437,269,345,1,1.498456979,1.492756884,1.003818502,0.438,7,8,0.467,16.88,30.01,77.67441458,6.84,8.47,29.32,33.55,21.82,12.3,7.6,29.5,30.6,20.1,40.994,4.9,46.84,21.5,69.6,1.042,6,3
Kwai Tsing,23740,444,5,495798,21246,0.000895526,0.895526001,0.011261261,1.126126126,0.0895526,4,48,48,232213,263585,0.468,208,236,1,0.895729352,0.895346852,1.000427209,0.468,4,1,0.8,16.7,23.74,88.09795702,4.28,10.36,31.53,35.14,18.69,10,8.6,26.8,32.6,22.1,21.246,4.89,45.62,27.5,55.9,0.85,2,2
Kwun Tong,22000,690,17,673166,59704,0.001025007,1.025007205,0.024637681,2.463768116,0.10250072,4,50,48,312303,360863,0.464,338,352,1.11,1.082282271,0.975439433,1.109533031,0.49,10,7,0.588,15.61,22,86.54336964,3.48,10.29,25.94,38.99,21.30,10.4,9,25.9,32.8,21.9,59.704,5.24,48.51,28.8,57.7,0.865,1,1
North,23580,182,5,309631,2269,0.000587796,0.587796442,0.027472527,2.747252747,0.058779644,4,52,46.3,145343,164288,0.469,89,93,1.08,0.612344592,0.566079081,1.081729767,0.489,3,2,0.6,16.73,23.58,88.46842131,4.95,7.14,27.47,40.11,20.33,10.8,8.9,28.5,33.8,17.9,2.269,5.3,47.8,27,59.6,0.885,1,1
Sai Kung,37840,348,1,489037,3771,0.000711603,0.711602599,0.002873563,0.287356322,0.07116026,4,46,44.7,223094,265943,0.456,186,162,1.37,0.83372928,0.609153089,1.368669543,0.534,1,0,1,15.78,37.84,83.88790079,4.89,10.34,33.91,38.79,12.07,11.5,8.1,30.8,33.7,15.8,3.771,5.1,44.03,17.6,70.4,1.065,2,2
Sha Tin,28870,503,6,692806,10082,0.000726033,0.726032973,0.011928429,1.192842942,0.072603297,4,48,46.2,317927,374879,0.459,220,283,0.92,0.691982751,0.754910251,0.916642409,0.437,3,3,0.5,14.7,28.87,84.80789802,3.58,10.14,30.42,38.17,17.69,11.4,7.8,29,31.8,20,10.082,4.75,46.83,23.7,65.4,0.987,6,4
Sham Shui Po,21490,518,20,431090,46067,0.001201605,1.201605233,0.038610039,3.861003861,0.120160523,4,49,46.2,197878,233212,0.459,242,276,1.03,1.222975773,1.183472549,1.03337908,0.467,11,9,0.55,17.5,21.49,84.84897861,4.05,8.11,29.15,37.45,21.24,11.4,8.2,28.6,31.4,20.4,46.067,4.67,48.23,26.5,59.8,0.903,2,1
